user_idx,items
11,"8420,2217,1911,10834,13295,2168,2566,9798,2788,10137,11783,975,4276,3765,4412,330,13345,5544,9667,8412,4100,2198,7137,4797,12664,10607,2442,9448,3054,2336,10915,5484,12155,11395,4321,6981,5198,9732,12856,12792,810,4946,6394,11750,11636,11383,1452,12989,7722,8160"
13,"6219,4697,9798,8234,10834,6165,13295,5544,2342,2379,2217,2646,9667,1226,7722,1977,2566,2019,7947,11783,1452,5531,9458,4100,543,4148,4412,1733,12605,11750,7228,5917,10433,12025,3087,8204,7705,2479,6981,9936,9453,7270,454,2788,2936,3839,1928,7023,4046,1289"
16,"1658,32,8875,499,363,584,4949,892,2163,448,3835,1795,891,2355,2267,1431,2472,1379,91,7981,3341,477,172,1128,4559,9334,4096,5604,4099,1743,11589,741,586,12046,6071,1372,389,2074,424,2466,1598,2250,1119,246,5939,2633,2636,5200,542,1289"
20,"2394,9862,12155,2168,3710,3529,12856,6165,1583,10261,1285,4347,8898,1639,4343,8451,6313,4452,1439,10757,9937,11383,4052,10672,1739,10178,11837,5470,7186,2493,7298,642,11179,12933,12566,4412,2204,1024,11319,3765,9621,465,12746,12453,7734,571,6787,12025,11281,4923"
43,"6321,10574,9670,1749,8634,1289,8089,8341,13290,4035,10673,10465,9961,3322,12831,688,8166,2763,10384,12393,4954,1828,11408,13026,11023,1091,9184,5569,10996,11213,12279,10444,1981,11212,1968,788,13184,13308,11742,1012,7072,11848,1638,12015,5134,11721,5294,4299,6970,2139"
54,"10325,5302,8420,7722,2788,5998,2198,4797,4276,4412,9941,13295,9667,9798,2989,2566,9579,6394,3044,6325,12856,9448,5484,810,2336,11383,1226,10915,5531,11395,7228,772,686,9967,6432,2420,3839,3054,6417,4148,5198,3339,3070,1879,8160,2410,10178,5023,10081,12025"
55,"5302,6970,8589,2217,8234,11842,6165,2198,850,10834,2342,9798,4321,4697,13295,4318,4276,9667,7062,1452,2336,5531,4797,12025,12664,10607,4412,5544,11968,543,6961,646,1226,3044,6394,11395,9732,4148,7947,7228,6833,5484,3294,10339,7270,7722,6417,5501,810,9692"
57,"6219,8234,10325,5998,1787,9071,7706,11539,9879,9941,9798,2788,219,3044,9448,6898,12679,13295,10915,8160,2566,11560,330,10607,4321,5544,1995,10178,6325,1583,2336,761,11402,3054,12756,7023,6750,1571,6532,5063,11725,7279,4797,3991,11910,7196,930,5609,11571,1289"
58,"10325,2139,8420,2217,8234,9941,274,9798,13295,10834,1452,2342,630,7722,9579,2566,1977,3044,5544,2198,11783,5531,850,9667,9404,810,9071,3054,6432,2336,3070,6394,510,1475,4412,12679,454,1420,6833,12025,1733,2420,2788,3179,1226,4946,8160,330,2578,1289"
78,"2139,1289,784,10325,9941,6219,2821,1787,8420,9071,542,4052,630,2217,1995,9404,5998,1452,4116,5531,11842,125,5544,13295,9798,2570,448,836,9937,6325,11571,10915,1285,9732,2936,7196,11725,9454,7461,3054,6234,9825,5765,13057,3044,2865,11356,5865,1583,11592"
80,"1289,7119,4928,788,5134,4082,2915,9961,6242,10606,1557,10962,3736,295,13308,5572,12029,12868,4386,10388,10146,12496,9404,3538,7816,4575,9670,7855,342,9294,1474,10580,3426,3479,4162,9645,11023,2968,3092,9767,4612,2956,12473,3602,3237,6053,6810,12761,2434,6970"
84,"8451,6891,10261,12856,2379,9862,6165,11383,7502,1439,11006,1639,6447,564,5302,2381,2345,2227,1583,2350,2120,6313,3607,12001,8898,9937,4347,10178,620,9263,5470,6535,12453,11179,13254,228,11837,4412,10843,9412,465,12933,101,4076,3768,6699,9305,11704,5945,4499"
91,"2139,6970,2217,5302,4797,7137,9798,2379,2198,4412,11395,2566,13295,8412,2788,4276,4100,3339,330,6165,5544,4946,975,12025,6394,543,784,12610,4697,9936,8160,6325,10081,10339,11356,2205,4678,1956,3070,4052,1452,6981,1298,7722,2570,2909,7947,5501,12155,12874"
96,"12155,10355,5544,10439,12856,2394,11383,8458,7947,3529,2168,6313,4945,7722,9862,9798,13400,13295,10672,7779,11910,5023,3710,1639,1439,11006,10261,3339,9491,465,3787,9291,1285,11256,1583,13223,8451,4923,6095,11281,4412,10178,7734,7186,8898,5470,1739,3963,4875,12555"
99,"10325,2566,10834,2336,9798,8160,9071,1911,9667,4321,2342,2420,13295,5531,4276,330,6432,3054,10137,11750,9579,12856,10915,810,1583,5544,6394,543,6981,1879,5198,10607,11383,6325,2198,686,11395,4797,1226,4946,12025,7062,454,5917,10178,3044,7947,12989,7963,4148"
111,"8420,2566,2904,12679,8234,4276,1787,9071,13295,4864,10834,850,2168,10915,1995,2336,13345,2788,6432,11783,9798,10137,10607,11725,3765,330,4797,3339,9967,2342,12155,3054,6325,9448,10339,9732,11571,5609,7137,6898,11383,12856,10178,1583,1209,2536,836,2410,4148,12989"
121,"2139,2788,4797,10325,11842,12330,850,7137,10834,1911,4412,9448,559,1718,3769,9071,3339,2342,3105,9798,2566,4276,1995,13295,12025,7228,9997,11356,2570,11571,3054,9692,784,4052,10433,7722,12664,7270,4116,7438,4739,12103,836,1787,564,6833,12605,11551,10081,1289"
132,"6970,12029,2217,4928,6242,1399,8921,9667,12679,7636,892,8566,584,9936,10711,9798,2148,8702,2267,448,4697,91,2198,11356,7714,477,7382,8401,11395,7705,586,4946,3992,784,2470,2715,3835,4530,499,7228,564,3341,5148,1056,2570,10440,1452,2731,8561,1119"
140,"8234,6219,2379,10325,9798,4697,5998,13295,12605,9936,5544,6165,7228,4412,7722,1855,2342,6961,5531,9941,8561,4100,11539,2372,4797,6417,7023,11910,7705,3087,6528,4321,9997,11750,6325,7947,7062,5865,2536,6981,6794,3991,6618,12025,10331,10240,4276,3908,8021,6833"
143,"1289,5302,12029,4386,4082,9667,9798,12868,1243,788,13295,5134,11539,4575,5572,975,6165,12025,4412,10146,9670,4697,8702,543,9404,2342,10240,5544,4276,3426,3087,10962,2186,9082,4612,125,2637,9767,7816,1855,7855,12473,9936,9692,1474,10335,2578,11650,1486,2988"
148,"1289,4928,10662,6242,2915,10606,342,9961,788,5134,4162,2956,8566,7119,1557,2568,1474,4215,4082,12496,13308,172,9767,295,7816,4575,3538,3426,10673,4386,777,12868,4776,13100,161,1976,10388,5968,5572,10335,11023,1475,12473,10580,4612,8518,10962,11297,9184,10051"
152,"2139,6219,8234,2788,10325,1597,2566,9798,3949,2904,13295,4412,4276,10607,2989,4797,4100,4864,2198,3769,7722,2336,543,2342,453,4697,5544,9448,9879,7137,3054,7947,810,3427,3339,5609,930,12025,10081,11395,686,1571,3044,6394,6833,11750,6325,330,4946,9967"
165,"892,1795,363,2470,2731,584,8589,7981,2355,1119,1658,1431,2163,3835,2715,2217,499,8875,246,448,1379,4949,11589,10471,32,2250,8420,1598,2074,6401,9334,542,4559,2267,12837,1947,1885,1028,424,703,793,5200,586,9849,7688,741,477,7046,9643,1289"
219,"12155,2394,3710,3529,2168,1439,5609,5544,11992,6313,10355,9862,6532,12856,8451,6106,1639,8898,10757,13295,1285,4452,11383,1739,6165,4347,10261,11006,1583,9491,10672,4923,10999,3787,5641,7186,11910,4321,10178,1024,5470,465,12933,2204,11704,5496,12746,7734,5023,12025"
230,"2139,5998,5302,13295,2217,9798,4116,2566,784,10834,8234,2342,5544,4100,2168,4697,850,3949,2570,11356,11783,975,1226,2788,9667,543,11842,4276,4412,453,5198,6528,5531,7722,3765,6961,330,4797,10339,7947,6981,930,12155,5494,5484,2237,1452,11750,9732,1289"
261,"1289,4928,4082,7119,4386,6242,10662,10321,8566,5134,9961,8301,12029,1399,13100,12496,9670,788,5572,11116,12473,5809,3087,9404,7636,4285,9798,4776,342,2186,2663,8553,4697,2968,1131,1855,7816,9294,5674,3696,12558,10962,2884,110,2713,11242,6810,3261,11142,10146"
273,"4697,2217,8234,9339,2342,784,6165,7636,6514,10834,5531,13295,1452,12025,7062,8412,9692,7714,3044,11783,2536,9798,3087,4116,1219,2198,4797,11356,4148,9667,5865,4946,2019,11395,7270,5544,8451,6394,3502,6528,6833,6794,5484,4276,6325,4412,1226,8561,2570,1289"
276,"1289,6970,5302,9798,2217,13295,9667,12029,8234,5544,10834,4100,4697,4797,7137,11116,4412,6165,975,7636,11539,12025,3087,6528,10240,543,8702,8519,5917,12664,7947,9936,1855,10146,2019,7722,10962,10081,1452,7023,7228,7816,9458,3044,1746,564,4612,5148,8561,2139"
280,"9670,1289,10574,1749,6321,4035,8634,10673,4972,7816,6721,8089,8341,9961,6097,1968,688,13290,12393,11213,227,11212,2763,1399,1828,712,8166,11408,11063,13026,3885,10384,5569,788,13184,5141,12831,10465,3322,9654,13308,10996,7072,12176,2186,1585,1638,12736,4299,6970"
290,"2139,7438,5302,8420,10325,2217,7062,274,2148,2342,9579,11842,2566,4876,564,330,9305,6833,10915,975,4276,5917,9692,11691,952,2788,3044,850,9770,7382,2381,1452,7137,3769,5746,12989,1219,6794,3054,1583,686,4797,12541,2420,13213,930,2263,2632,2536,12856"
299,"5302,10325,9798,2217,13295,4276,2989,1718,8234,4412,3054,4100,2566,2336,2198,9941,4864,2904,10915,4321,975,11750,7062,5484,6981,10607,7722,6165,3949,1226,4797,12330,8412,7947,4697,3044,2420,12025,10433,2788,9732,930,810,10081,6234,5609,11383,686,10565,1289"
309,"2139,10325,8420,4276,2788,8234,2566,11842,1787,4864,2198,9798,850,10915,11383,10607,7137,2336,4797,3769,12679,6432,686,13295,12856,3054,3044,930,6394,5609,330,810,1209,5023,9448,5917,6325,5544,836,10178,11750,1995,2420,10433,12989,11395,12874,11571,6981,1583"
331,"2139,2342,2788,9692,9448,2566,6833,6794,2536,4797,3339,1219,10834,784,4276,9941,4412,3769,9997,1995,2821,7137,2570,5531,7228,2989,3105,4739,4116,11356,11571,1571,88,10433,8574,7722,3054,9798,12330,13295,930,7636,10146,1787,7438,5350,10565,2797,10962,9131"
343,"4412,5302,10325,7722,4276,1226,2198,10081,2217,3839,8234,3105,2788,4797,2566,2989,10915,9798,2479,3769,3887,11383,12330,6394,2342,1956,11395,13295,3054,12856,10607,12025,2336,5544,12155,6165,810,686,8793,10178,930,7947,6750,12874,1583,7228,6833,9448,3070,4946"
358,"10606,1289,2045,10673,777,3426,4928,6970,97,11023,2663,8301,1243,419,342,7944,4575,1733,3583,2139,4318,10388,8553,12902,788,2342,5302,2633,1557,9169,9374,3538,524,2578,11063,8518,5671,11917,3237,5978,2637,8589,2968,1475,7700,10529,3069,9767,1219,246"
379,"8234,1733,10325,2139,2342,10834,3070,88,7722,12679,784,4484,6219,7632,9825,4946,630,2936,4148,9692,12664,12857,5523,2238,542,2536,11110,3949,7270,3765,1452,6833,2205,2198,13295,4198,10915,10178,9732,4116,5531,1439,9096,6794,9454,12605,448,1219,2420,11395"
385,"6219,10325,8234,9798,8420,3044,2566,5998,13295,9941,2788,2904,10607,3949,9448,11539,7722,219,10915,6325,5531,4100,1879,2342,4321,4797,2336,8160,7947,7557,11750,5501,12605,11560,330,2936,3339,6981,11842,11910,10178,2536,12025,930,13223,7228,761,2646,1583,1289"
